barcode,collector,overflow_capacity,last_reading_date,tank_type_label,tank_type_id,nominal_capacity,container_type_label,tank_name,key_maker,container_type_id,tank_status_label,current_volume,id,tank_status_id,fill_level
2022-F.W-00031,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 14:03:13,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Freddy,25705fb13ee5d685f4abe181f72d9811,18,En service,62.85,f6d1430d93840aed7a150fdb0311e214,3001,75.72
2022-F.W-00024,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 11:13:16,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Camille,a90f2077e4335158d85c064152a69848,18,En service,43.25,55d1086ee6d730f865b0d0ca24b15514,3001,52.11
2022-F.W-00022,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 09:08:45,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Aurore,3cd02df37ffc47538532534223f5fd7e,18,En service,38.18,0494bb526aa8ddad5d546cb3ae3e9f60,3001,46.00
2022-F.W-00075,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:13:54,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Wilfried,304c28ef0c93443788e20e8b9fcd5aee,18,En service,33.97,d237ce5a711cdd63bf5bf14b344a3361,3001,40.93
2022-F.W-00042,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:35:42,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Ludovic,12ebf92e2a2ecdbac18e60174425d798,18,En service,39.63,522b188013ad2e79449d4f3282574ba3,3001,47.75
2022-F.W-00078,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 11:13:21,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Joséphine,a397ae7a636aa003b3d5afa183b52faa,18,En service,1.45,f601d4f37c46f727319222c7bd618e9a,3001,1.75
2022-F.W-00090,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 22:08:42,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Michel ,ce09da17dd422c60a3b3a889e1b5c6cd,18,En service,43.07,7c4fb899a4ef89ee0a3eec0e75b4cf72,3001,51.89
2022-F.W-00004,18435351e5ed4efccfbbb896d5e80925,82.00,2024-02-01 00:54:36,Cuve fixe (maker),3275,70.00,Type 1 - 70 litres - Inox,Gala,0701073d3b1724ed38d8054396b528ec,72,En service,76.32,1b0c00fd3092fed1721722e29fabd4cb,3001,93.07
2022-F.W-00211,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-30 23:30:47,,0,70.00,Type 4 - 83 litres - Plastique,Mahbub,8775320e9c3e86735e99a0d3eb06c283,18,En service,33.79,31a36afb2bf37e455d03fb66ffd95621,3001,40.71
2022-F.W-00057,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 15:48:39,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Norbert,986c346112ad9e05f271c8dca2263147,18,En service,36.54,e1a9922ad360c1213eda5f8a62c7d3db,3001,44.02
